Store,Dept,Date,IsHoliday,Predicted_Weekly_Sales
1,1,04-05-2012,False,16364.722
1,1,11-05-2012,False,16486.084
1,1,18-05-2012,False,16232.469
1,1,25-05-2012,False,16232.469
1,1,01-06-2012,False,15757.726
1,1,08-06-2012,False,16465.97
1,1,15-06-2012,False,16744.016
1,1,22-06-2012,False,16744.016
1,1,29-06-2012,False,16744.016
1,1,06-07-2012,False,16744.016
1,1,13-07-2012,False,16673.637
1,1,20-07-2012,False,16673.637
1,1,27-07-2012,False,16395.592
1,1,03-08-2012,False,16394.57
1,1,10-08-2012,False,16486.084
1,1,17-08-2012,False,16465.97
1,1,24-08-2012,False,16465.97
1,1,31-08-2012,False,16465.97
1,1,07-09-2012,True,16986.373
1,1,14-09-2012,False,16465.97
1,1,21-09-2012,False,16297.531
1,1,28-09-2012,False,16297.531
1,1,05-10-2012,False,16232.469
1,1,12-10-2012,False,20690.371
1,1,19-10-2012,False,16486.084
1,1,26-10-2012,False,16486.084
1,2,04-05-2012,False,58345.62
1,2,11-05-2012,False,58466.984
1,2,18-05-2012,False,58213.367
1,2,25-05-2012,False,58213.367
1,2,01-06-2012,False,57638.52
1,2,08-06-2012,False,58446.875
1,2,15-06-2012,False,58724.914
1,2,22-06-2012,False,58724.914
1,2,29-06-2012,False,58724.914
1,2,06-07-2012,False,58724.914
1,2,13-07-2012,False,58654.53
1,2,20-07-2012,False,58654.53
1,2,27-07-2012,False,58376.492
1,2,03-08-2012,False,58375.473
1,2,10-08-2012,False,58466.984
1,2,17-08-2012,False,58446.875
1,2,24-08-2012,False,58446.875
1,2,31-08-2012,False,58446.875
1,2,07-09-2012,True,58967.266
1,2,14-09-2012,False,58446.875
1,2,21-09-2012,False,58278.434
1,2,28-09-2012,False,58278.434
1,2,05-10-2012,False,58213.367
1,2,12-10-2012,False,62169.32
1,2,19-10-2012,False,58466.984
1,2,26-10-2012,False,58466.984
1,3,04-05-2012,False,15980.493
1,3,11-05-2012,False,15805.873
1,3,18-05-2012,False,15848.24
1,3,25-05-2012,False,15848.24
1,3,01-06-2012,False,13954.548
1,3,08-06-2012,False,15972.446
1,3,15-06-2012,False,16359.787
1,3,22-06-2012,False,16359.787
1,3,29-06-2012,False,16359.787
1,3,06-07-2012,False,16359.787
1,3,13-07-2012,False,17120.326
1,3,20-07-2012,False,17952.371
1,3,27-07-2012,False,17674.328
1,3,03-08-2012,False,16010.341
1,3,10-08-2012,False,15805.873
1,3,17-08-2012,False,20629.264
1,3,24-08-2012,False,20629.264
1,3,31-08-2012,False,20629.264
1,3,07-09-2012,True,17433.062
1,3,14-09-2012,False,16081.743
1,3,21-09-2012,False,15913.304
1,3,28-09-2012,False,15913.304
1,3,05-10-2012,False,15848.24
1,3,12-10-2012,False,20010.16
1,3,19-10-2012,False,15805.873
1,3,26-10-2012,False,15805.873
1,4,04-05-2012,False,37700.39
1,4,11-05-2012,False,37821.754
1,4,18-05-2012,False,37568.14
1,4,25-05-2012,False,37568.14
1,4,01-06-2012,False,37311.57
1,4,08-06-2012,False,37801.645
1,4,15-06-2012,False,38079.688
1,4,22-06-2012,False,38079.688
1,4,29-06-2012,False,38079.688
1,4,06-07-2012,False,38079.688
1,4,13-07-2012,False,38009.312
1,4,20-07-2012,False,38009.312
1,4,27-07-2012,False,37731.266
1,4,03-08-2012,False,37730.24
1,4,10-08-2012,False,37821.754
1,4,17-08-2012,False,37801.645
1,4,24-08-2012,False,37801.645
1,4,31-08-2012,False,37801.645
1,4,07-09-2012,True,38322.05
1,4,14-09-2012,False,37801.645
1,4,21-09-2012,False,37633.203
1,4,28-09-2012,False,37633.203
1,4,05-10-2012,False,37568.14
1,4,12-10-2012,False,39495.406
1,4,19-10-2012,False,37821.754
1,4,26-10-2012,False,37821.754
1,5,04-05-2012,False,28233.785
1,5,11-05-2012,False,34496.652
1,5,18-05-2012,False,27754.568
1,5,25-05-2012,False,27754.568
1,5,01-06-2012,False,27617.234
1,5,08-06-2012,False,27988.07
1,5,15-06-2012,False,28266.115
1,5,22-06-2012,False,28266.115
1,5,29-06-2012,False,28266.115
1,5,06-07-2012,False,28266.115
1,5,13-07-2012,False,27537.393
1,5,20-07-2012,False,27537.393
1,5,27-07-2012,False,27259.348
1,5,03-08-2012,False,29355.756
1,5,10-08-2012,False,28346.414
1,5,17-08-2012,False,27988.07
1,5,24-08-2012,False,27988.07
1,5,31-08-2012,False,28248.838
1,5,07-09-2012,True,27850.13
1,5,14-09-2012,False,28248.838
1,5,21-09-2012,False,28080.398
1,5,28-09-2012,False,28080.398
1,5,05-10-2012,False,27754.568
1,5,12-10-2012,False,68558.805
1,5,19-10-2012,False,28541.162
1,5,26-10-2012,False,28541.162
1,6,04-05-2012,False,4600.866
1,6,11-05-2012,False,4489.8223
1,6,18-05-2012,False,4736.44
1,6,25-05-2012,False,4736.44
1,6,01-06-2012,False,4425.9775
1,6,08-06-2012,False,4702.116
1,6,15-06-2012,False,4980.16
1,6,22-06-2012,False,4980.16
1,6,29-06-2012,False,4980.16
1,6,06-07-2012,False,4980.16
1,6,13-07-2012,False,4909.7817
1,6,20-07-2012,False,4909.7817
1,6,27-07-2012,False,4631.7373
1,6,03-08-2012,False,4630.714
1,6,10-08-2012,False,4722.228
1,6,17-08-2012,False,4702.116
1,6,24-08-2012,False,4702.116
1,6,31-08-2012,False,4702.116
1,6,07-09-2012,True,5682.9834
1,6,14-09-2012,False,4702.116
1,6,21-09-2012,False,4533.676
1,6,28-09-2012,False,4533.676
1,6,05-10-2012,False,4736.44
1,6,12-10-2012,False,16481.938
1,6,19-10-2012,False,4722.228
1,6,26-10-2012,False,4722.228
1,7,04-05-2012,False,29591.65
1,7,11-05-2012,False,35047.293
1,7,18-05-2012,False,25945.145
1,7,25-05-2012,False,25945.145
1,7,01-06-2012,False,26569.195
1,7,08-06-2012,False,27679.572
1,7,15-06-2012,False,35250.812
1,7,22-06-2012,False,35250.812
1,7,29-06-2012,False,32086.37
1,7,06-07-2012,False,35250.812
1,7,13-07-2012,False,31327.307
1,7,20-07-2012,False,31327.307
1,7,27-07-2012,False,28235.496
1,7,03-08-2012,False,32409.387
1,7,10-08-2012,False,29585.385
1,7,17-08-2012,False,27679.572
1,7,24-08-2012,False,27679.572
1,7,31-08-2012,False,27679.572
1,7,07-09-2012,True,31640.045
1,7,14-09-2012,False,33841.73
1,7,21-09-2012,False,26296.053
1,7,28-09-2012,False,26296.053
1,7,05-10-2012,False,28344.734
1,7,12-10-2012,False,106682.195
1,7,19-10-2012,False,28115.055
1,7,26-10-2012,False,28115.055
1,8,04-05-2012,False,43018.223
1,8,11-05-2012,False,43139.586
1,8,18-05-2012,False,42885.973
1,8,25-05-2012,False,42885.973
1,8,01-06-2012,False,42283.125
1,8,08-06-2012,False,43119.473
1,8,15-06-2012,False,43397.52
1,8,22-06-2012,False,43397.52
1,8,29-06-2012,False,43397.52
1,8,06-07-2012,False,43397.52
