Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,05-02-2010,25037.08,FALSE
1,1,12-02-2010,46247.44,TRUE
1,1,19-02-2010,41783.43,FALSE
1,1,26-02-2010,19491.18,FALSE
1,1,05-03-2010,21926.49,FALSE
1,1,12-03-2010,21138.44,FALSE
1,1,19-03-2010,22236.62,FALSE
1,1,26-03-2010,26347.68,FALSE
1,1,02-04-2010,57517.05,FALSE
1,1,09-04-2010,43154.95,FALSE
1,1,16-04-2010,17676.44,FALSE
1,1,23-04-2010,16218.27,FALSE
1,1,30-04-2010,16629.88,FALSE
1,1,07-05-2010,17492.59,FALSE
1,1,14-05-2010,19012.23,FALSE
1,1,21-05-2010,14839.77,FALSE
1,1,28-05-2010,15650.8,FALSE
1,1,04-06-2010,17637.39,FALSE
1,1,11-06-2010,16712.77,FALSE
1,1,18-06-2010,16289.51,FALSE
1,1,25-06-2010,16402.47,FALSE
1,1,02-07-2010,16406.91,FALSE
1,1,09-07-2010,17768.66,FALSE
1,1,16-07-2010,17228.31,FALSE
1,1,23-07-2010,15429.83,FALSE
1,1,30-07-2010,15451.3,FALSE
1,1,06-08-2010,17587.49,FALSE
1,1,13-08-2010,15606.57,FALSE
1,1,20-08-2010,15811.22,FALSE
1,1,27-08-2010,15865.21,FALSE
1,1,03-09-2010,16315.14,FALSE
1,1,10-09-2010,18276.92,TRUE
1,1,17-09-2010,19441.65,FALSE
1,1,24-09-2010,18204.37,FALSE
1,1,01-10-2010,20184.95,FALSE
1,1,08-10-2010,23493.67,FALSE
1,1,15-10-2010,27100.19,FALSE
1,1,22-10-2010,25658.41,FALSE
1,1,29-10-2010,38815.46,FALSE
1,1,05-11-2010,34393.53,FALSE
1,1,12-11-2010,19637.69,FALSE
1,1,19-11-2010,19641.15,FALSE
1,1,26-11-2010,18905.3,TRUE
1,1,03-12-2010,22619.27,FALSE
1,1,10-12-2010,31639.92,FALSE
1,1,17-12-2010,45115.72,FALSE
1,1,24-12-2010,56183.86,FALSE
1,1,31-12-2010,19210.96,TRUE
1,1,07-01-2011,16056.44,FALSE
1,1,14-01-2011,17438.11,FALSE
1,1,21-01-2011,17419.8,FALSE
1,1,28-01-2011,18544.56,FALSE
1,1,04-02-2011,21763.62,FALSE
1,1,11-02-2011,38058.3,TRUE
1,1,18-02-2011,47057.46,FALSE
1,1,25-02-2011,19451.29,FALSE
1,1,04-03-2011,20419.42,FALSE
1,1,11-03-2011,21376.52,FALSE
1,1,18-03-2011,20426.07,FALSE
1,1,25-03-2011,20975.41,FALSE
1,1,01-04-2011,20490.22,FALSE
1,1,08-04-2011,23981.62,FALSE
1,1,15-04-2011,28892.28,FALSE
1,1,22-04-2011,50738.45,FALSE
1,1,29-04-2011,41699.89,FALSE
1,1,06-05-2011,20229.15,FALSE
1,1,13-05-2011,17313,FALSE
1,1,20-05-2011,15205.15,FALSE
1,1,27-05-2011,15812.7,FALSE
1,1,03-06-2011,16508.38,FALSE
1,1,10-06-2011,15955.26,FALSE
1,1,17-06-2011,15045.74,FALSE
1,1,24-06-2011,15753.64,FALSE
1,1,01-07-2011,15432.89,FALSE
1,1,08-07-2011,16221.81,FALSE
1,1,15-07-2011,15725.56,FALSE
1,1,22-07-2011,15837.81,FALSE
1,1,29-07-2011,15994.33,FALSE
1,1,05-08-2011,15364.64,FALSE
1,1,12-08-2011,14605.46,FALSE
1,1,19-08-2011,14755.59,FALSE
1,1,26-08-2011,14603.03,FALSE
1,1,02-09-2011,15346.27,FALSE
1,1,09-09-2011,17826.84,TRUE
1,1,16-09-2011,18619.2,FALSE
1,1,23-09-2011,17939.97,FALSE
1,1,30-09-2011,18420.51,FALSE
1,1,07-10-2011,20891.52,FALSE
1,1,14-10-2011,23181.78,FALSE
1,1,21-10-2011,23457.27,FALSE
1,1,28-10-2011,31722.54,FALSE
1,1,04-11-2011,40066.21,FALSE
1,1,11-11-2011,18773.96,FALSE
1,1,18-11-2011,19136.71,FALSE
1,1,25-11-2011,21005.7,TRUE
1,1,02-12-2011,25407.73,FALSE
1,1,09-12-2011,33456.35,FALSE
1,1,16-12-2011,45979.77,FALSE
1,1,23-12-2011,47000.08,FALSE
1,1,30-12-2011,23456.35,TRUE
1,1,06-01-2012,16642.52,FALSE
1,1,13-01-2012,16970.71,FALSE
1,1,20-01-2012,18448.05,FALSE
1,1,27-01-2012,18461.17,FALSE
